	C21D00402	C21D00444	D21D00412	M21D00435	N21D00374	N21D00379	N21D00401	N21D00404	N21D00438	N21D00440	P21D00366	P21D00372	P21D00373	P21D00386	P21D00389	P21D00391	P21D00395	P21D00396	P21D00397	P21D00398	P21D00399	P21D00405	P21D00408	P21D00436	P21D00437	P21D00442	P21D00447	S21D00410	X20D02486	X21D00400T
JAK1_E19_STA101785	4394.0	7816.0	3976.0	5838.0	19214.0	10952.0	25193.0	7305.0	6650.0	448.0	19557.0	3670.0	7633.0	4643.0	769.0	1351.0	15183.0	16738.0	11649.0	12826.0	38545.0	14137.0	7366.0	15183.0	11984.0	23813.0	2178.0	1609.0	15753.0	11060.0
JAK1_E18_STA100341	7331.0	6896.0	6043.0	8381.0	25369.0	17584.0	43024.0	8624.0	8492.0	534.0	25705.0	3471.0	9227.0	3526.0	690.0	1454.0	15993.0	21887.0	14346.0	16641.0	46805.0	20140.0	7500.0	20890.0	16698.0	37607.0	1509.0	1677.0	18628.0	11579.0
JAK1_E18_STA100342	838.0	788.0	903.0	980.0	3166.0	2265.0	5697.0	808.0	1144.0	84.0	3317.0	580.0	989.0	536.0	26.0	272.0	2169.0	3737.0	2460.0	1853.0	5547.0	2190.0	859.0	2127.0	1290.0	3815.0	122.0	143.0	2302.0	1320.0
JAK1_E17_STA100343	3010.0	3516.0	2844.0	2509.0	10134.0	7411.0	15666.0	7972.0	2578.0	236.0	9210.0	1262.0	3746.0	2516.0	298.0	684.0	6024.0	9403.0	5639.0	6331.0	15047.0	7361.0	3870.0	5666.0	3852.0	15203.0	878.0	998.0	7260.0	3745.0
JAK1_E17_STA100344	2668.0	4190.0	2561.0	2689.0	12653.0	6601.0	14932.0	7789.0	3133.0	271.0	11546.0	2056.0	4166.0	3019.0	194.0	358.0	8958.0	9745.0	5717.0	6340.0	24099.0	8963.0	4112.0	7692.0	6491.0	14228.0	1187.0	929.0	8428.0	5757.0
JAK1_E17_STA100345	2418.0	2531.0	2602.0	2430.0	10484.0	7423.0	14738.0	4097.0	2239.0	108.0	8675.0	1249.0	3029.0	1863.0	232.0	478.0	5724.0	9739.0	4461.0	5805.0	17795.0	5815.0	3113.0	5352.0	3846.0	14886.0	954.0	442.0	9009.0	3534.0
JAK1_E16_STA100346	3822.0	3832.0	3807.0	2791.0	12709.0	9487.0	19920.0	9505.0	3780.0	226.0	13379.0	1710.0	4206.0	2875.0	335.0	763.0	8007.0	10464.0	6775.0	7774.0	25124.0	10262.0	4268.0	7249.0	5939.0	19609.0	893.0	502.0	10509.0	6508.0
JAK1_E16_STA100347	1322.0	1591.0	1906.0	1014.0	4822.0	3804.0	9052.0	2589.0	1184.0	74.0	6000.0	570.0	1583.0	1032.0	66.0	227.0	2505.0	5037.0	3185.0	3027.0	8098.0	3348.0	1490.0	2319.0	1396.0	7349.0	202.0	290.0	3287.0	1572.0
JAK1_E15_STA100348	5340.0	5168.0	4583.0	4622.0	19263.0	12416.0	29226.0	9664.0	3853.0	404.0	15953.0	2768.0	6937.0	3810.0	354.0	759.0	9879.0	16973.0	8213.0	10767.0	28477.0	12516.0	6800.0	9493.0	7263.0	29957.0	1110.0	1319.0	15020.0	6436.0
JAK1_E15_STA100349	3074.0	2918.0	3727.0	2316.0	12529.0	7760.0	13291.0	4086.0	2832.0	252.0	9308.0	1631.0	3957.0	1915.0	194.0	495.0	7527.0	10431.0	5960.0	6815.0	20316.0	7890.0	3832.0	6905.0	5147.0	14701.0	845.0	597.0	11200.0	4239.0
JAK1_E14_STA100350	1864.0	2245.0	1525.0	1370.0	6696.0	5286.0	10734.0	6455.0	1843.0	120.0	9152.0	1173.0	2324.0	1580.0	116.0	313.0	6220.0	6179.0	3384.0	4561.0	17660.0	6187.0	2489.0	4120.0	3421.0	9611.0	539.0	180.0	6345.0	3773.0
JAK1_E14_STA100351	593.0	745.0	665.0	344.0	1410.0	1154.0	2416.0	1868.0	420.0	26.0	2187.0	238.0	732.0	506.0	102.0	82.0	1059.0	1305.0	862.0	1115.0	3912.0	1308.0	744.0	805.0	750.0	2754.0	94.0	220.0	1315.0	787.0
JAK1_E13_STA100352	2070.0	2428.0	1727.0	1829.0	6627.0	4556.0	11115.0	2341.0	2738.0	93.0	8057.0	987.0	2288.0	1771.0	142.0	368.0	4939.0	5760.0	3146.0	4368.0	15674.0	5715.0	2838.0	5098.0	3777.0	10978.0	450.0	377.0	5313.0	3390.0
JAK1_E13_STA100353	597.0	438.0	705.0	390.0	2210.0	1527.0	3947.0	1051.0	550.0	24.0	2633.0	360.0	699.0	462.0	22.0	84.0	989.0	2026.0	1239.0	998.0	4004.0	1134.0	605.0	841.0	563.0	3159.0	100.0	59.0	1235.0	880.0
JAK1_E12_STA100354	1858.0	2208.0	1863.0	1387.0	5980.0	4914.0	10589.0	6091.0	1788.0	59.0	7249.0	1029.0	2368.0	1744.0	309.0	460.0	4218.0	5780.0	3438.0	4987.0	13902.0	5160.0	2509.0	4059.0	2830.0	10214.0	433.0	374.0	4138.0	2974.0
